cust_id,lookalikes
C0001,"[('C0146', 0.9846766203196576), ('C0035', 0.9846261514736792), ('C0045', 0.9691813612034327)]"
C0002,"[('C0133', 0.9969748280054627), ('C0134', 0.9810131079145615), ('C0144', 0.9783770599356463)]"
C0003,"[('C0166', 0.9996168521701857), ('C0031', 0.9980354741369378), ('C0158', 0.9965181024383409)]"
C0004,"[('C0047', 0.9771435420876702), ('C0172', 0.9675246524060195), ('C0113', 0.9566495295182216)]"
C0005,"[('C0197', 0.9999185648817964), ('C0007', 0.9979085027158004), ('C0069', 0.9704026032483509)]"
C0006,"[('C0135', 0.9959553423113117), ('C0187', 0.953574123472795), ('C0167', 0.9490014691232034)]"
C0007,"[('C0005', 0.9979085027158004), ('C0197', 0.9970022863144133), ('C0069', 0.9613677220097555)]"
C0008,"[('C0181', 0.9795565955138308), ('C0162', 0.9792967584746658), ('C0154', 0.9781994047835728)]"
C0009,"[('C0092', 0.9847598909469107), ('C0049', 0.9632522029779212), ('C0034', 0.9487969401744957)]"
C0010,"[('C0077', 0.9898101503056507), ('C0083', 0.9889562315611905), ('C0061', 0.9806890871453912)]"
C0011,"[('C0126', 0.9946600764215052), ('C0027', 0.9852546048517609), ('C0094', 0.9793952230002242)]"
C0012,"[('C0065', 0.9968964308321829), ('C0172', 0.9889298908294527), ('C0152', 0.9869836485591875)]"
C0013,"[('C0107', 0.9939106413230282), ('C0183', 0.9936198881812249), ('C0016', 0.9935784088568628)]"
C0014,"[('C0151', 0.9971852576067167), ('C0128', 0.9965313856140402), ('C0097', 0.9895489070767114)]"
C0015,"[('C0123', 0.9979539533995594), ('C0037', 0.9748521541930414), ('C0137', 0.9702941425454399)]"
C0016,"[('C0183', 0.9999989835977797), ('C0107', 0.9998904736986258), ('C0088', 0.9945559437193413)]"
C0017,"[('C0075', 0.9836912192350945), ('C0194', 0.9814290532569496), ('C0090', 0.9813692268588322)]"
C0018,"[('C0075', 0.9649569738816663), ('C0021', 0.9628434548604725), ('C0085', 0.9593996714021432)]"
C0019,"[('C0191', 0.9899370005591929), ('C0070', 0.9813561285010649), ('C0126', 0.9457075454091112)]"
C0020,"[('C0130', 0.9801236570954784), ('C0120', 0.9199794222543353), ('C0066', 0.8964958810362476)]"
